日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/09/01,"19,310,294","897,551,894",45.85,46.8,45.75,46.6,1.0,"8,741"
112/09/04,"7,378,965","343,099,618",46.6,46.7,46.25,46.65,0.05,"4,851"
112/09/05,"7,911,802","367,611,487",46.65,46.8,46.3,46.45,-0.2,"6,017"
112/09/06,"15,291,923","702,373,331",46.5,46.55,45.75,45.8,-0.65,"10,305"
112/09/07,"7,137,043","325,840,794",45.7,45.8,45.45,45.7,-0.1,"4,082"
112/09/08,"8,284,898","381,731,825",45.6,46.3,45.6,46.3,0.6,"4,197"
112/09/11,"9,392,022","435,537,763",46.3,46.55,46.0,46.55,0.25,"4,782"
112/09/12,"12,339,573","573,812,477",46.55,46.65,46.1,46.65,0.1,"6,423"
112/09/13,"7,972,600","371,894,662",46.5,46.75,46.5,46.75,0.1,"4,537"
112/09/14,"13,423,245","628,095,536",46.85,47.0,46.6,46.9,0.15,"5,824"
112/09/15,"18,533,783","865,101,109",46.9,46.9,46.6,46.65,-0.25,"4,424"
112/09/18,"9,978,403","463,250,103",46.6,46.6,46.3,46.4,-0.25,"3,570"
112/09/19,"12,194,676","566,023,189",46.45,46.6,46.3,46.35,-0.05,"3,932"
112/09/20,"19,313,673","886,321,213",46.3,46.35,45.65,45.7,-0.65,"8,450"
112/09/21,"26,136,256","1,174,773,398",45.5,45.55,44.7,44.9,-0.8,"14,512"
112/09/22,"14,934,980","668,771,681",44.85,45.0,44.55,44.7,-0.2,"6,643"
112/09/25,"12,662,976","566,861,787",44.75,45.0,44.6,44.85,0.15,"6,046"
112/09/26,"13,781,253","613,479,158",44.7,44.85,44.4,44.45,-0.4,"9,559"
112/09/27,"13,017,554","579,004,916",44.3,44.7,44.2,44.6,0.15,"7,080"
112/09/28,"12,239,161","547,099,027",44.6,44.95,44.55,44.55,-0.05,"5,056"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
