證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
"=""0050   元大台灣50      """,39,"2,459,750","3,017","190,475,850",
"=""0051   元大中型100     """,0,0,0,0,
"=""0052   富邦科技        """,0,0,0,0,
"=""0053   元大電子        """,0,0,0,0,
"=""0055   元大MSCI金融    """,0,0,0,0,
"=""0056   元大高股息      """,42,"1,534,490","5,946","216,948,580",
"=""0057   富邦摩台        """,0,0,0,0,
"=""0061   元大寶滬深      """,0,0,0,0,
"=""006203   元大MSCI台灣    """,0,0,0,0,
"=""006204   永豐臺灣加權    """,0,0,0,0,
"=""006205   富邦上証        """,0,0,0,0,
"=""006206   元大上證50      """,0,0,0,0,
"=""006207   復華滬深        """,0,0,0,0,
"=""006208   富邦台50        """,0,0,112,"16,555,550",
"=""00625K   富邦上証+R      """,0,0,0,0,
"=""00631L   元大台灣50正2   """,16,"5,407,300",0,0,
"=""00632R   元大台灣50反1   """,144,"2,466,660",0,0,
"=""00633L   富邦上証正2     """,18,"901,900",0,0,
"=""00634R   富邦上証反1     """,0,0,0,0,
"=""00635U   期元大S&P黃金   """,2,"86,900",0,0,
"=""00636   國泰中國A50     """,0,0,0,0,
"=""00636K   國泰中國A50+U   """,0,0,0,0,
"=""00637L   元大滬深300正2  """,20,"406,350",0,0,
"=""00638R   元大滬深300反1  """,0,0,0,0,
"=""00639   富邦深100       """,0,0,0,0,
"=""00640L   富邦日本正2     """,0,0,0,0,
"=""00641R   富邦日本反1     """,19,"89,870",0,0,
"=""00642U   期元大S&P石油   """,9,"140,910",0,0,
"=""00643   群益深証中小    """,0,0,0,0,
"=""00643K   群益深証中小+R  """,0,0,0,0,
"=""00645   富邦日本        """,0,0,0,0,
"=""00646   元大S&P500      """,0,0,0,0,
"=""00647L   元大S&P500正2   """,0,0,0,0,
"=""00648R   元大S&P500反1   """,2,"8,760",0,0,
"=""00650L   復華香港正2     """,84,"1,551,570",0,0,
"=""00651R   復華香港反1     """,0,0,0,0,
"=""00652   富邦印度        """,0,0,0,0,
"=""00653L   富邦印度正2     """,0,0,0,0,
"=""00654R   富邦印度反1     """,0,0,0,0,
"=""00655L   國泰中國A50正2  """,1,"34,770",0,0,
"=""00656R   國泰中國A50反1  """,0,0,0,0,
"=""00657   國泰日經225     """,0,0,0,0,
"=""00657K   國泰日經225+U   """,0,0,0,0,
"=""00660   元大歐洲50      """,0,0,0,0,
"=""00661   元大日經225     """,0,0,0,0,
"=""00662   富邦NASDAQ      """,0,0,985,"99,520,750",
"=""00663L   國泰臺灣加權正2 """,132,"5,850,660",0,0,
"=""00664R   國泰臺灣加權反1 """,2,"5,520",143,"396,110",
"=""00665L   富邦�琤肭磪囓�2 """,167,"1,961,790",0,0,
"=""00666R   富邦�琤肭磪齯�1 """,0,0,0,0,
"=""00668   國泰美國道瓊    """,0,0,0,0,
"=""00668K   國泰美國道瓊+U  """,0,0,0,0,
"=""00669R   國泰美國道瓊反1 """,2,"11,600",0,0,
"=""00670L   富邦NASDAQ正2   """,0,0,85,"14,024,700",
"=""00671R   富邦NASDAQ反1   """,64,"182,400",0,0,
"=""00673R   期元大S&P原油反1""",0,0,0,0,
"=""00674R   期元大S&P黃金反1""",0,0,0,0,
"=""00675L   富邦臺灣加權正2 """,15,"2,021,000",0,0,
"=""00676R   富邦臺灣加權反1 """,2,"18,760",0,0,
"=""00678   群益那斯達克生技""",0,0,0,0,
"=""00680L   元大美債20正2   """,4,"29,960",0,0,
"=""00681R   元大美債20反1   """,0,0,0,0,
"=""00682U   期元大美元指數  """,0,0,0,0,
"=""00683L   期元大美元指正2 """,0,0,0,0,
"=""00684R   期元大美元指反1 """,0,0,0,0,
"=""00685L   群益臺灣加權正2 """,0,0,0,0,
"=""00686R   群益臺灣加權反1 """,2,"3,390",0,0,
"=""00688L   國泰20年美債正2 """,0,0,0,0,
"=""00689R   國泰20年美債反1 """,0,0,0,0,
"=""00690   兆豐藍籌30      """,0,0,0,0,
"=""00692   富邦公司治理    """,0,0,9,"512,150",
"=""00693U   期街口S&P黃豆   """,3,"64,560",0,0,
"=""00700   富邦�琤肭磪�    """,0,0,0,0,
"=""00701   國泰股利精選30  """,0,0,0,0,
"=""00702   國泰標普低波高息""",0,0,0,0,
"=""00703   台新MSCI中國    """,0,0,0,0,
"=""00706L   期元大S&P日圓正2""",0,0,0,0,
"=""00707R   期元大S&P日圓反1""",0,0,0,0,
"=""00708L   期元大S&P黃金正2""",17,"1,365,900",0,0,
"=""00709   富邦歐洲        """,0,0,0,0,
"=""00710B   復華彭博非投等債""",0,0,0,0,
"=""00711B   復華彭博新興債  """,0,0,0,0,
"=""00712   復華富時不動產  """,10,"88,800",0,0,
"=""00713   元大台灣高息低波""",0,0,714,"36,586,100",
"=""00714   群益道瓊美國地產""",0,0,0,0,
"=""00715L   期街口布蘭特正2 """,562,"5,943,790",0,0,
"=""00717   富邦美國特別股  """,0,0,0,0,
"=""00728   第一金工業30    """,0,0,0,0,
"=""00730   富邦臺灣優質高息""",0,0,0,0,
"=""00731   復華富時高息低波""",0,0,0,0,
"=""00733   富邦臺灣中小    """,0,0,0,0,
"=""00735   國泰臺韓科技    """,0,0,3,"148,250",
"=""00736   國泰新興市場    """,0,0,0,0,
"=""00737   國泰AI機器人    """,0,0,0,0,
"=""00738U   期元大道瓊白銀  """,0,0,0,0,
"=""00739   元大MSCI A股    """,0,0,0,0,
"=""00752   中信中國50      """,1,"27,230",0,0,
"=""00753L   中信中國50正2   """,187,"2,519,110",0,0,
"=""00757   統一FANG+       """,1,"122,750",0,0,
"=""00762   元大全球AI      """,0,0,39,"3,393,000",
