Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
"=""0050   元大台灣50      """,66,"9,180,950","3,722","517,986,550"
"=""0051   元大中型100     """,0,0,0,0
"=""0052   富邦科技        """,0,0,0,0
"=""0053   元大電子        """,0,0,0,0
"=""0054   元大台商50      """,0,0,0,0
"=""0055   元大MSCI金融    """,0,0,0,0
"=""0056   元大高股息      """,1,"33,470",124,"4,119,800"
"=""0057   富邦摩台        """,0,0,0,0
"=""0061   元大寶滬深      """,0,0,0,0
"=""006203   元大MSCI台灣    """,0,0,0,0
"=""006204   永豐臺灣加權    """,0,0,0,0
"=""006205   富邦上証        """,0,0,0,0
"=""006206   元大上證50      """,0,0,0,0
"=""006207   復華滬深        """,0,0,0,0
"=""006208   富邦台50        """,1,"80,400",651,"52,150,800"
"=""00625K   富邦上証+R      """,0,0,0,0
"=""00631L   元大台灣50正2   """,5,"688,000",0,0
"=""00632R   元大台灣50反1   ""","1,679","8,770,270",440,"2,294,650"
"=""00633L   富邦上証正2     """,456,"22,023,410",200,"9,591,150"
"=""00634R   富邦上証反1     """,0,0,0,0
"=""00635U   期元大S&P黃金   """,16,"407,730",0,0
"=""00636   國泰中國A50     """,0,0,0,0
"=""00636K   國泰中國A50+U   """,0,0,0,0
"=""00637L   元大滬深300正2  """,208,"3,936,750","2,116","40,186,810"
"=""00638R   元大滬深300反1  """,0,0,0,0
"=""00639   富邦深100       """,0,0,0,0
"=""00640L   富邦日本正2     """,4,"102,980",0,0
"=""00641R   富邦日本反1     """,1,"10,740",0,0
"=""00642U   期元大S&P石油   """,13,"223,010",0,0
"=""00643   群益深証中小    """,0,0,0,0
"=""00643K   群益深証中小+R  """,0,0,0,0
"=""00645   富邦日本        """,0,0,0,0
"=""00646   元大S&P500      """,0,0,499,"17,864,940"
"=""00647L   元大S&P500正2   """,5,"307,050",0,0
"=""00648R   元大S&P500反1   """,101,"728,640",0,0
"=""00650L   復華香港正2     """,0,0,0,0
"=""00651R   復華香港反1     """,0,0,0,0
"=""00652   富邦印度        """,0,0,0,0
"=""00653L   富邦印度正2     """,9,"360,970",0,0
"=""00654R   富邦印度反1     """,1,"8,700",0,0
"=""00655L   國泰中國A50正2  """,9,"322,030",171,"6,124,730"
"=""00656R   國泰中國A50反1  """,0,0,0,0
