日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/01/03,"122,121,153","3,996,422,895",33.7,33.7,31.9,32.1,-1.9,"47,465"
111/01/04,"47,227,389","1,510,086,268",32.3,32.4,31.6,31.7,-0.4,"23,838"
111/01/05,"45,909,021","1,451,835,353",31.85,32.2,31.3,31.3,-0.4,"16,331"
111/01/06,"45,004,249","1,378,765,895",31.05,31.05,30.4,30.65,-0.65,"17,677"
111/01/07,"32,942,268","1,003,302,767",30.8,31.0,30.15,30.3,-0.35,"11,695"
111/01/10,"22,444,167","684,439,533",30.05,30.8,29.9,30.65,0.35,"7,816"
111/01/11,"26,188,595","790,217,428",30.45,30.7,29.9,30.0,-0.65,"10,212"
111/01/12,"32,789,028","980,744,214",30.2,30.4,29.5,30.1,0.1,"12,223"
111/01/13,"14,196,346","428,397,752",30.25,30.4,30.0,30.1,0.0,"6,036"
111/01/14,"26,044,771","770,771,384",30.05,30.1,29.3,29.7,-0.4,"10,630"
111/01/17,"20,412,429","618,299,988",29.75,30.65,29.7,30.6,0.9,"8,128"
111/01/18,"28,708,868","883,449,586",30.65,31.05,30.45,30.45,-0.15,"11,629"
111/01/19,"19,190,471","583,985,373",30.15,30.75,30.1,30.45,0.0,"6,720"
111/01/20,"13,552,830","414,978,124",30.35,30.85,30.25,30.75,0.3,"6,239"
111/01/21,"20,684,620","623,273,825",30.45,30.65,29.9,30.0,-0.75,"9,516"
111/01/24,"15,412,735","453,263,735",29.6,29.7,29.0,29.5,-0.5,"7,116"
111/01/25,"19,357,536","573,841,391",29.3,29.85,29.25,29.6,0.1,"7,159"
111/01/26,"29,333,727","884,103,230",29.6,30.7,29.6,29.95,0.35,"12,060"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
