單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"2,341,963,803","1,555,167,636","786,796,167"
自營商(避險),"6,598,450,480","7,573,828,355","-975,377,875"
投信,"4,284,828,405","2,524,857,899","1,759,970,506"
外資及陸資(不含外資自營商),"65,734,300,869","72,075,974,508","-6,341,673,639"
外資自營商,"13,548,310","17,268,960","-3,720,650"
合計,"78,959,543,557","83,729,828,398","-4,770,284,841"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
