單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"8,068,990,171","6,759,925,583","1,309,064,588"
自營商(避險),"14,359,135,941","19,661,566,423","-5,302,430,482"
投信,"16,626,265,744","14,536,691,686","2,089,574,058"
外資及陸資(不含外資自營商),"227,466,464,513","239,182,716,177","-11,716,251,664"
外資自營商,"224,420","280,500","-56,080"
合計,"266,520,856,369","280,140,899,869","-13,620,043,500"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
