單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"3,120,466,753","3,185,332,229","-64,865,476"
自營商(避險),"5,599,432,732","7,473,787,795","-1,874,355,063"
投信,"6,097,467,203","3,470,377,575","2,627,089,628"
外資及陸資(不含外資自營商),"67,816,144,341","76,804,794,251","-8,988,649,910"
外資自營商,"1,252,630","492,520","760,110"
合計,"82,633,511,029","90,934,291,850","-8,300,780,821"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
