單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"3,380,083,298","2,634,173,315","745,909,983"
自營商(避險),"6,050,445,087","5,225,198,448","825,246,639"
投信,"6,370,556,860","5,872,200,144","498,356,716"
外資及陸資(不含外資自營商),"77,331,540,752","65,777,456,412","11,554,084,340"
外資自營商,"28,354,480","20,515,170","7,839,310"
合計,"93,132,625,997","79,509,028,319","13,623,597,678"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
