單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,889,732,215","2,985,587,831","1,904,144,384"
自營商(避險),"6,753,385,172","6,261,764,541","491,620,631"
投信,"6,426,498,535","3,437,119,673","2,989,378,862"
外資及陸資(不含外資自營商),"89,741,300,432","82,590,137,950","7,151,162,482"
外資自營商,"33,007,780","27,552,640","5,455,140"
合計,"107,810,916,354","95,274,609,995","12,536,306,359"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
