單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,467,943,240","3,489,520,874","-2,021,577,634"
自營商(避險),"6,816,063,918","7,165,018,535","-348,954,617"
投信,"3,029,339,402","2,668,698,558","360,640,844"
外資及陸資(不含外資自營商),"70,325,635,905","72,728,357,460","-2,402,721,555"
外資自營商,"55,759,700","33,478,180","22,281,520"
合計,"81,638,982,465","86,051,595,427","-4,412,612,962"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
