證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,22.90,4.37,113,-,0.79,114/3
1102,亞泥,38.95,5.65,113,11.63,0.79,114/3
1103,嘉泥,14.25,3.86,113,33.14,0.51,114/3
1104,環泥,31.45,5.41,113,13.38,0.93,114/3
1108,幸福,15.05,4.98,113,6.43,1.07,114/3
1109,信大,15.70,5.73,113,14.40,0.66,114/3
1110,東泥,16.85,1.78,113,43.21,1.02,114/3
1201,味全,14.95,3.34,113,26.70,1.01,114/3
1203,味王,40.00,3.0,113,19.42,1.56,114/3
1210,大成,52.40,5.4,113,13.33,1.77,114/3
1213,大飲,10.95,3.2,113,1.24,0.93,114/3
1215,卜蜂,142.50,3.16,113,13.94,3.61,114/3
1216,統一,75.30,3.98,113,21.64,3.35,114/3
1217,愛之味,10.45,3.54,113,38.70,0.69,114/3
1218,泰山,18.15,7.44,113,13.85,0.7,114/3
1219,福壽,13.75,3.64,113,31.98,1.04,114/3
1220,台榮,12.60,5.56,113,50.40,0.95,114/3
1225,福懋油,30.25,2.28,113,21.61,1.94,114/3
1227,佳格,31.25,4.48,113,21.40,1.59,114/3
1229,聯華,47.35,3.8,113,18.50,1.48,114/3
1231,聯華食,100.00,2.6,113,27.70,4.41,114/3
1232,大統益,147.00,4.76,113,18.26,4.27,114/3
1233,天仁,32.35,2.94,113,40.44,2.19,114/3
1234,黑松,38.00,5.0,113,19.39,0.82,114/3
1235,興泰,49.00,5.1,113,-,0.66,114/3
1236,宏亞,24.75,2.42,113,-,0.86,114/3
1256,鮮活果汁-KY,138.00,3.41,113,14.27,1.36,114/3
1301,台塑,43.85,1.14,113,-,0.96,114/3
1303,南亞,67.70,1.03,113,-,1.63,114/3
1304,台聚,12.05,1.66,113,-,0.71,114/3
1305,華夏,11.80,1.27,113,-,0.87,114/3
1307,三芳,33.95,7.95,113,11.47,1.43,114/3
1308,亞聚,14.15,1.77,113,-,0.8,114/3
1309,台達化,12.15,1.65,113,-,0.85,114/3
1310,台苯,9.39,0.0,113,-,0.73,114/3
1312,國喬,11.65,0.0,113,-,0.46,114/3
1313,聯成,11.30,1.33,113,-,0.51,114/3
1314,中石化,8.17,0.0,113,-,0.41,114/3
