證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""00940""",元大台灣價值高息,"3,848,000","957,500","2,890,500",0.0,0.0,0.0,0,0,0,"12,413,911",0,"110,000","-110,000","13,683,985","1,160,074","12,523,911","15,304,411"
"=""00637L""",元大滬深300正2  ,"7,625,000","2,083,000","5,542,000",0.0,0.0,0.0,0,0,0,"8,345,099","921,000","30,000","891,000","18,326,031","10,871,932","7,454,099","13,887,099"
"=""00680L""",元大美債20正2   ,"228,000",0,"228,000",0.0,0.0,0.0,0,0,0,"12,563,855",0,0,0,"13,786,500","1,222,645","12,563,855","12,791,855"
"=""00929""",復華台灣科技優息,"2,722,224","944,000","1,778,224",0.0,0.0,0.0,0,0,0,"9,017,514","100,000",0,"100,000","10,636,816","1,719,302","8,917,514","10,795,738"
2801,彰銀            ,"15,509,489","5,930,266","9,579,223",0.0,0.0,0.0,"1,015,000","35,000","980,000","80,760","105,000",0,"105,000","5,760","30,000","-24,240","10,639,983"
2891,中信金          ,"39,949,277","24,736,058","15,213,219",0.0,0.0,0.0,0,"7,161,490","-7,161,490","171,226","400,000","81,000","319,000","3,338","151,112","-147,774","8,222,955"
2890,永豐金          ,"23,765,020","13,855,218","9,909,802",0.0,0.0,0.0,"327,000","2,246,517","-1,919,517","131,238","119,000","2,000","117,000","14,238",0,"14,238","8,121,523"
2883,凱基金          ,"21,436,000","12,367,000","9,069,000",0.0,0.0,0.0,"426,000","1,918,356","-1,492,356","-3,000","158,000","182,000","-24,000","21,000",0,"21,000","7,573,644"
2371,大同            ,"8,590,400","2,015,000","6,575,400",0.0,0.0,0.0,0,0,0,"383,346","258,000","12,513","245,487","161,263","23,404","137,859","6,958,746"
2887,台新新光金      ,"18,115,823","12,223,168","5,892,655",0.0,0.0,0.0,"779,000","14,505","764,495","-23,998",0,0,0,"4,000","27,998","-23,998","6,633,152"
"=""00688L""",國泰20年美債正2 ,"264,000",0,"264,000",0.0,0.0,0.0,0,0,0,"5,871,318",0,0,0,"6,605,616","734,298","5,871,318","6,135,318"
"=""00953B""",群益優選非投等債,"20,116,165","5,498,000","14,618,165",0.0,0.0,0.0,"3,000,000",0,"3,000,000","-11,698,347",0,0,0,"3,682,897","15,381,244","-11,698,347","5,919,818"
"=""0056""",元大高股息      ,"5,615,035","2,644,000","2,971,035",0.0,0.0,0.0,0,0,0,"2,321,700","61,000","4,018","56,982","2,398,000","133,282","2,264,718","5,292,735"
2317,鴻海            ,"18,070,532","12,582,083","5,488,449",0.0,0.0,0.0,"2,000","127,544","-125,544","-269,903","249,000","418,000","-169,000","101,096","201,999","-100,903","5,093,002"
2884,玉山金          ,"18,442,421","13,694,799","4,747,622",0.0,0.0,0.0,"254,000","49,238","204,762","-14,002","243,000","217,000","26,000","56,000","96,002","-40,002","4,938,382"
"=""00965""",元大航太防衛科技,"6,443,000","255,000","6,188,000",0.0,0.0,0.0,0,0,0,"-1,684,245",0,"1,425,000","-1,425,000","3,270,841","3,530,086","-259,245","4,503,755"
2886,兆豐金          ,"10,862,991","5,794,580","5,068,411",0.0,0.0,0.0,0,"1,094,512","-1,094,512","241,320","244,000","24,840","219,160","25,000","2,840","22,160","4,215,219"
"=""06759P""",台灣50元大48售10,0,0,0,0.0,0.0,0.0,0,0,0,"3,856,000",0,0,0,"3,863,000","7,000","3,856,000","3,856,000"
2618,長榮航          ,"7,573,497","12,321,856","-4,748,359",0.0,0.0,0.0,"8,899,000","520,000","8,379,000","-4,976","371,000","113,000","258,000","146,024","409,000","-262,976","3,625,665"
"=""009802""",富邦旗艦50      ,"586,000","126,000","460,000",0.0,0.0,0.0,0,0,0,"3,120,362",0,0,0,"3,841,000","720,638","3,120,362","3,580,362"
"=""00939""",統一台灣高息動能,"234,000","104,000","130,000",0.0,0.0,0.0,0,0,0,"3,231,215",0,0,0,"3,719,215","488,000","3,231,215","3,361,215"
2313,華通            ,"6,921,060","4,632,036","2,289,024",0.0,0.0,0.0,"652,000","5,000","647,000","243,951","130,498","87,410","43,088","217,863","17,000","200,863","3,179,975"
2383,台光電          ,"6,650,951","4,283,927","2,367,024",0.0,0.0,0.0,"839,000","45,816","793,184","-80,121","42,040","91,761","-49,721","103,821","134,221","-30,400","3,080,087"
2328,廣宇            ,"4,056,298","1,211,899","2,844,399",0.0,0.0,0.0,0,"1,000","-1,000","226,155","229,418","92,000","137,418","103,737","15,000","88,737","3,069,554"
2356,英業達          ,"9,608,340","5,856,000","3,752,340",0.0,0.0,0.0,0,"886,000","-886,000","-47,674","38,000","94,674","-56,674","16,000","7,000","9,000","2,818,666"
2834,臺企銀          ,"6,797,000","2,487,447","4,309,553",0.0,0.0,0.0,0,"1,463,000","-1,463,000","-55,161","170,839","130,000","40,839",0,"96,000","-96,000","2,791,392"
"=""06761P""",台灣50元大49售08,0,0,0,0.0,0.0,0.0,0,0,0,"2,759,000",0,0,0,"2,759,000",0,"2,759,000","2,759,000"
2439,美律            ,"2,893,150","1,204,241","1,688,909",0.0,0.0,0.0,"958,728",0,"958,728","51,048","18,000","57,855","-39,855","100,903","10,000","90,903","2,698,685"
3376,新日興          ,"4,153,005","2,853,939","1,299,066",0.0,0.0,0.0,"1,230,000","222,000","1,008,000","158,297","95,921","133,798","-37,877","263,174","67,000","196,174","2,465,363"
"=""00936""",台新永續高息中小,"425,000",0,"425,000",0.0,0.0,0.0,0,0,0,"1,993,410",0,0,0,"2,974,410","981,000","1,993,410","2,418,410"
"=""062795""",臺指反元大4A購01,0,0,0,0.0,0.0,0.0,0,0,0,"2,403,000",0,0,0,"2,443,000","40,000","2,403,000","2,403,000"
"=""047546""",T50反1中信47購01,0,0,0,0.0,0.0,0.0,0,0,0,"2,380,000",0,0,0,"2,401,000","21,000","2,380,000","2,380,000"
8070,長華*           ,"2,720,897","393,056","2,327,841",0.0,0.0,0.0,0,"1,000","-1,000","12,206","9,000",0,"9,000","11,324","8,118","3,206","2,339,047"
"=""00934""",中信成長高股息  ,"80,000","2,000","78,000",0.0,0.0,0.0,0,0,0,"2,153,224",0,0,0,"2,522,420","369,196","2,153,224","2,231,224"
3037,欣興            ,"5,723,267","4,038,779","1,684,488",0.0,0.0,0.0,"426,000","6,277","419,723","117,874","135,674","17,079","118,595","39,562","40,283",-721,"2,222,085"
2367,燿華            ,"3,612,673","1,420,078","2,192,595",0.0,0.0,0.0,0,0,0,"14,999","12,000",0,"12,000","3,000",1,"2,999","2,207,594"
"=""051522""",鴻海群益49購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,150,000",0,0,0,"2,150,000",0,"2,150,000","2,150,000"
"=""06695P""",台灣50元大49售06,0,0,0,0.0,0.0,0.0,0,0,0,"2,140,000",0,0,0,"2,146,000","6,000","2,140,000","2,140,000"
