單位名稱,買進金額,賣出金額,買賣差額,Unnamed: 4
自營商(自行買賣),"5,864,045,116","2,905,918,911","2,958,126,205",
自營商(避險),"8,281,855,140","6,959,553,200","1,322,301,940",
投信,"2,440,353,945","2,856,094,174","-415,740,229",
外資及陸資(不含外資自營商),"86,923,518,742","70,470,889,375","16,452,629,367",
外資自營商,"19,438,220","14,445,890","4,992,330",
合計,"103,509,772,943","83,192,455,660","20,317,317,283",
說明:,,,,
自營商表示證券自營商專戶。,,,,
投信表示本國投資信託基金。,,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,,
