Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""00900 """,富邦特選高股息30,0,0,0,"11,493,659","756,808","10,736,851","11,493,659","756,808","10,736,851"
"=""00664R""",國泰臺灣加權反1 ,0,0,0,"8,821,000","1,180,550","7,640,450","8,821,000","1,180,550","7,640,450"
"=""0050  """,元大台灣50      ,"483,807","9,000","474,807","13,889,724","8,449,812","5,439,912","14,373,531","8,458,812","5,914,719"
"=""00878 """,國泰永續高股息  ,0,0,0,"8,096,785","2,624,544","5,472,241","8,096,785","2,624,544","5,472,241"
"=""00929 """,復華台灣科技優息,"118,000",0,"118,000","6,632,844","1,699,155","4,933,689","6,750,844","1,699,155","5,051,689"
"=""00881 """,國泰台灣科技龍頭,"10,000","10,000",0,"6,804,421","1,963,028","4,841,393","6,814,421","1,973,028","4,841,393"
"=""00939 """,統一台灣高息動能,0,0,0,"5,243,576","1,138,000","4,105,576","5,243,576","1,138,000","4,105,576"
"=""00882 """,中信中國高股息  ,0,0,0,"4,299,000","420,623","3,878,377","4,299,000","420,623","3,878,377"
"=""00982A""",主動群益台灣強棒,0,"120,000","-120,000","10,987,257","7,169,037","3,818,220","10,987,257","7,289,037","3,698,220"
"=""03990C""",T50反1元大56牛03,0,0,0,"3,605,000","2,000","3,603,000","3,605,000","2,000","3,603,000"
"=""0056  """,元大高股息      ,0,0,0,"3,534,050","83,941","3,450,109","3,534,050","83,941","3,450,109"
"=""00941 """,中信上游半導體  ,0,0,0,"3,766,071","481,000","3,285,071","3,766,071","481,000","3,285,071"
"=""040119""",台達電群益54購05,0,0,0,"3,320,000","40,000","3,280,000","3,320,000","40,000","3,280,000"
"=""031912""",定穎控元富52購03,0,0,0,"3,904,000","763,000","3,141,000","3,904,000","763,000","3,141,000"
"=""037905""",瀚宇博元大53購02,0,0,0,"3,174,000","266,000","2,908,000","3,174,000","266,000","2,908,000"
"=""00988A""",主動統一全球創新,"600,000",0,"600,000","3,742,000","1,500,000","2,242,000","4,342,000","1,500,000","2,842,000"
"=""082273""",新興統一55購01  ,0,0,0,"2,939,000","220,000","2,719,000","2,939,000","220,000","2,719,000"
"=""080469""",聯發科元大51購15,0,0,0,"2,700,000","2,000","2,698,000","2,700,000","2,000","2,698,000"
"=""05278U""",楠梓電元大53售01,0,0,0,"2,646,000","41,000","2,605,000","2,646,000","41,000","2,605,000"
"=""042930""",臺指反元大5B購01,0,0,0,"2,510,000",0,"2,510,000","2,510,000",0,"2,510,000"
"=""038241""",臺指反元大5A購01,0,0,0,"2,505,000",0,"2,505,000","2,505,000",0,"2,505,000"
"=""043930""",致茂元大55購05  ,0,0,0,"2,439,000","160,000","2,279,000","2,439,000","160,000","2,279,000"
"=""00961 """,FT臺灣永續高息  ,0,"150,000","-150,000","2,443,330","48,000","2,395,330","2,443,330","198,000","2,245,330"
1303  ,南亞            ,"3,275,749","2,045,726","1,230,023","2,658,289","1,698,685","959,604","5,934,038","3,744,411","2,189,627"
"=""00891 """,中信關鍵半導體  ,0,0,0,"3,796,102","1,749,429","2,046,673","3,796,102","1,749,429","2,046,673"
"=""00673R""",期元大S&P原油反1,0,0,0,"2,662,435","667,000","1,995,435","2,662,435","667,000","1,995,435"
"=""009802""",富邦旗艦50      ,0,0,0,"3,123,000","1,149,619","1,973,381","3,123,000","1,149,619","1,973,381"
"=""039707""",明泰元大54購02  ,0,0,0,"2,293,000","321,000","1,972,000","2,293,000","321,000","1,972,000"
"=""043337""",明泰群益55購01  ,0,0,0,"1,979,000","39,000","1,940,000","1,979,000","39,000","1,940,000"
"=""00662 """,富邦NASDAQ      ,0,0,0,"2,035,000","99,000","1,936,000","2,035,000","99,000","1,936,000"
"=""00885 """,富邦越南        ,0,0,0,"2,704,704","778,000","1,926,704","2,704,704","778,000","1,926,704"
"=""088817""",來億凱基51購03  ,0,0,0,"2,180,000","417,000","1,763,000","2,180,000","417,000","1,763,000"
"=""00830 """,國泰費城半導體  ,"17,000",0,"17,000","2,143,138","400,000","1,743,138","2,160,138","400,000","1,760,138"
"=""00915 """,凱基優選高股息30,0,0,0,"2,014,461","256,788","1,757,673","2,014,461","256,788","1,757,673"
"=""031804""",南亞兆豐58購01  ,0,0,0,"1,750,000",0,"1,750,000","1,750,000",0,"1,750,000"
"=""034073""",南亞中信53購01  ,0,0,0,"2,323,000","619,000","1,704,000","2,323,000","619,000","1,704,000"
"=""035441""",仲琦群益53購02  ,0,0,0,"1,699,000","1,000","1,698,000","1,699,000","1,000","1,698,000"
"=""009809""",富邦淨零ESG50   ,0,0,0,"2,818,000","1,185,000","1,633,000","2,818,000","1,185,000","1,633,000"
"=""033910""",昇貿元富53購03  ,0,0,0,"1,613,000","10,000","1,603,000","1,613,000","10,000","1,603,000"
