日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/03/01,"1,187,601","46,090,070",38.7,39.5,38.1,39.15,-0.15,809
112/03/02,"1,162,522","45,886,078",39.1,39.95,39.1,39.25,0.1,"1,180"
112/03/03,"13,014,979","547,040,633",39.9,43.15,39.9,43.15,3.9,"7,911"
112/03/06,"30,568,946","1,374,160,156",44.45,46.0,44.0,45.95,2.8,"17,665"
112/03/07,"8,322,517","375,549,727",45.05,45.8,44.5,45.75,-0.2,"5,429"
112/03/08,"5,875,179","264,963,103",45.05,45.9,44.3,45.75,0.0,"3,979"
112/03/09,"13,118,584","611,859,681",46.0,48.5,44.6,45.5,-0.25,"8,917"
112/03/10,"5,100,049","225,876,110",44.6,45.4,43.55,43.55,-1.95,"3,526"
112/03/13,"3,036,365","129,431,808",43.7,44.15,41.75,42.5,-1.05,"2,285"
112/03/14,"1,321,811","55,639,836",42.5,42.6,41.75,41.85,-0.65,994
112/03/15,"1,163,183","49,024,386",42.5,42.65,41.6,41.6,-0.25,889
112/03/16,"1,883,673","76,506,697",41.2,41.6,39.95,40.25,-1.35,"1,397"
112/03/17,"896,631","36,711,344",41.0,41.35,40.5,40.75,0.5,729
112/03/20,"1,024,739","42,206,665",40.8,41.7,40.35,41.2,0.45,867
112/03/21,"1,727,085","73,020,770",41.6,42.85,41.4,42.55,1.35,"1,425"
112/03/22,"4,337,238","190,477,658",42.65,44.95,42.4,43.6,1.05,"3,263"
112/03/23,"3,883,135","173,126,832",43.0,45.25,43.0,44.55,0.95,"2,541"
112/03/24,"2,374,028","104,923,617",44.6,44.95,43.55,43.55,-1.0,"1,856"
112/03/27,"1,034,306","45,250,604",43.7,44.1,43.35,43.55,0.0,876
112/03/28,"953,926","40,857,707",43.55,43.95,42.35,42.4,-1.15,842
112/03/29,"799,540","34,336,237",42.6,43.6,42.25,42.35,-0.05,840
112/03/30,"819,179","34,614,035",42.65,42.9,41.85,41.9,-0.45,662
112/03/31,"1,001,359","42,331,009",42.2,42.8,41.7,42.7,0.8,703
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
