日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/11/01,"34,599,649","923,149,319",24.95,27.2,24.9,27.2,2.45,"13,067"
110/11/02,"42,305,636","1,166,741,035",28.0,28.1,26.85,27.75,0.55,"17,900"
110/11/03,"22,131,330","616,146,981",27.8,28.45,27.1,28.05,0.3,"10,897"
110/11/04,"11,567,874","323,653,602",28.1,28.25,27.7,27.9,-0.15,"5,862"
110/11/05,"9,974,945","274,677,213",28.05,28.15,27.3,27.35,-0.55,"4,677"
110/11/08,"11,607,875","320,328,460",27.65,28.2,27.25,27.25,-0.1,"5,286"
110/11/09,"12,874,938","355,163,518",27.35,28.0,27.0,27.6,0.35,"5,896"
110/11/10,"13,408,753","363,655,649",27.55,27.6,26.85,27.05,-0.55,"6,133"
110/11/11,"6,584,905","178,721,419",26.85,27.5,26.7,27.0,-0.05,"3,177"
110/11/12,"11,500,931","304,436,244",27.1,27.15,26.2,26.2,-0.8,"5,699"
110/11/15,"17,677,498","443,275,003",25.45,25.45,24.8,25.0,-1.2,"8,625"
110/11/16,"5,566,522","139,498,386",25.05,25.25,24.9,25.05,0.05,"2,791"
110/11/17,"7,069,768","176,174,189",25.1,25.2,24.7,24.8,-0.25,"3,489"
110/11/18,"8,776,330","221,319,735",25.0,25.5,24.7,25.45,0.65,"4,070"
110/11/19,"5,043,151","127,216,871",25.6,25.6,25.05,25.05,-0.4,"2,394"
110/11/22,"3,154,803","79,168,110",25.0,25.35,24.9,25.1,0.05,"1,600"
110/11/23,"5,001,486","124,477,836",24.95,25.05,24.7,24.8,-0.3,"3,315"
110/11/24,"4,157,851","104,298,059",24.9,25.25,24.85,25.05,0.25,"2,760"
110/11/25,"2,427,716","60,813,118",25.2,25.25,24.95,25.0,-0.05,"1,646"
110/11/26,"5,118,107","126,200,463",25.0,25.0,24.55,24.55,-0.45,"3,070"
110/11/29,"4,044,713","97,450,383",24.2,24.35,23.85,24.25,-0.3,"2,277"
110/11/30,"2,578,288","63,253,863",24.45,24.75,24.45,24.45,0.2,"1,461"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
