日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/07/01,"5,070,648","144,545,706",28.7,28.95,28.2,28.3,-0.35,"2,031"
111/07/04,"3,525,623","100,716,109",28.35,28.8,28.3,28.7,+0.40,"1,603"
111/07/05,"3,410,771","98,607,761",29.15,29.2,28.7,28.9,+0.20,"1,668"
111/07/06,"5,331,600","153,884,161",29.25,29.3,28.5,28.5,-0.40,"2,403"
111/07/07,"4,481,537","129,395,565",28.65,29.1,28.5,29.0,+0.50,"2,554"
111/07/08,"3,965,803","115,856,177",29.15,29.4,29.05,29.2,+0.20,"1,778"
111/07/11,"3,044,802","88,383,187",29.4,29.45,28.8,28.95,-0.25,"1,507"
111/07/12,"4,098,483","117,829,908",28.95,29.15,28.5,28.6,-0.35,"2,291"
111/07/13,"4,326,715","125,625,388",29.1,29.2,28.9,29.0,+0.40,"2,183"
111/07/14,"6,242,425","183,115,752",29.0,29.65,28.75,29.65,+0.65,"2,880"
111/07/15,"7,957,949","239,883,222",29.65,30.35,29.65,30.25,+0.60,"4,132"
111/07/18,"9,945,528","302,949,782",30.35,30.85,29.9,30.85,+0.60,"4,114"
111/07/19,"13,182,883","411,559,331",30.55,31.45,30.5,31.25,+0.40,"6,011"
111/07/20,"13,215,323","410,980,197",31.6,31.6,30.7,30.85,-0.40,"6,020"
111/07/21,"12,416,706","377,831,028",30.95,31.05,30.15,30.5,-0.35,"5,624"
111/07/22,"17,009,928","526,663,471",30.55,31.9,30.2,31.2,+0.70,"6,311"
111/07/25,"9,852,054","309,296,506",31.2,31.5,31.05,31.4,+0.20,"3,162"
111/07/26,"8,542,630","265,608,716",31.4,31.55,30.7,30.85,-0.55,"3,056"
111/07/27,"12,067,552","370,261,605",30.8,31.0,30.45,30.6,-0.25,"3,882"
111/07/28,"15,681,680","451,076,734",28.75,29.3,28.3,28.6,X0.00,"5,216"
111/07/29,"5,966,930","169,973,115",28.7,28.7,28.3,28.6, 0.00,"3,151"
說明:,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,
