113年07月12日 個股日本益比、殖利率及股價淨值比,113年07月12日 個股日本益比、殖利率及股價淨值比,113年07月12日 個股日本益比、殖利率及股價淨值比,113年07月12日 個股日本益比、殖利率及股價淨值比,113年07月12日 個股日本益比、殖利率及股價淨值比,113年07月12日 個股日本益比、殖利率及股價淨值比,113年07月12日 個股日本益比、殖利率及股價淨值比,113年07月12日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,34.25,2.92,112,30.86,1.11,113/1
1102,亞泥,45.7,4.6,112,14.55,0.95,113/1
1103,嘉泥,18.7,2.67,112,623.33,0.59,113/1
1104,環泥,35.75,5.59,112,11.57,1.06,113/1
1108,幸福,16.6,6.02,112,12.87,1.41,113/1
1109,信大,19.75,6.08,112,10.18,0.81,113/1
1110,東泥,22.5,0.89,112,90.00,1.42,113/1
1201,味全,18.5,1.46,112,34.26,1.27,113/1
1203,味王,52.0,2.12,112,24.64,2.09,113/1
1210,大成,57.6,3.82,112,11.71,2.12,113/1
1213,大飲,9.02,0.0,111,-,2.52,113/1
1215,卜蜂,102.5,5.37,112,13.63,3.04,113/1
1216,統一,85.7,3.5,112,25.81,3.63,113/1
1217,愛之味,12.75,1.8,112,29.65,0.9,113/1
1218,泰山,21.35,0.0,112,71.17,0.85,113/1
1219,福壽,18.4,4.35,112,20.44,1.33,113/1
1220,台榮,15.8,2.53,112,14.50,1.18,113/1
1225,福懋油,132.0,1.06,112,80.98,8.45,113/1
1227,佳格,40.7,3.07,112,25.76,2.04,113/1
1229,聯華,70.9,2.96,112,26.86,2.33,113/1
1231,聯華食,117.0,2.22,112,28.13,4.77,113/1
1232,大統益,147.5,4.47,112,20.69,4.15,113/1
1233,天仁,33.3,2.7,112,30.83,2.19,113/1
1234,黑松,43.1,4.41,112,18.58,0.96,113/1
1235,興泰,102.0,0.98,112,38.78,1.62,113/1
1236,宏亞,25.2,2.58,112,105.00,0.95,113/1
1256,鮮活果汁-KY,194.5,3.39,112,15.67,1.69,113/1
1301,台塑,57.9,1.73,112,70.61,1.09,113/1
1303,南亞,50.1,1.4,112,59.64,1.09,113/1
1304,台聚,16.9,2.07,112,-,0.78,113/1
1305,華夏,18.0,1.94,112,138.46,1.09,113/1
1307,三芳,30.4,4.93,112,11.92,1.34,113/1
1308,亞聚,18.6,2.42,112,-,0.85,113/1
1309,台達化,19.6,1.53,112,-,1.19,113/1
1310,台苯,14.3,0.0,112,-,1.08,113/1
1312,國喬,15.05,0.0,112,-,0.51,113/1
1313,聯成,12.7,1.57,112,-,0.54,113/1
1314,中石化,10.6,0.0,112,212.00,0.51,113/1
1315,達新,72.0,6.94,112,19.25,0.67,113/1
1316,上曜,19.8,0.0,112,-,1.7,113/1
1319,東陽,102.5,3.9,112,16.37,2.27,113/1
1321,大洋,37.05,1.08,112,45.74,1.33,113/1
1323,永裕,30.0,3.33,112,33.33,1.12,113/1
1324,地球,14.25,1.4,112,32.39,1.12,113/1
1325,恆大,31.5,1.9,112,82.89,0.96,113/1
1326,台化,48.65,2.57,112,26.30,0.87,113/1
1337,再生-KY,8.09,0.0,112,-,0.5,113/1
1338,廣華-KY,33.0,1.52,112,-,0.45,113/1
1339,昭輝,63.3,4.74,112,9.30,1.21,113/1
1340,勝悅-KY,11.6,0.0,112,-,0.48,113/1
1341,富林-KY,66.8,6.59,112,14.71,2.95,113/1
1342,八貫,114.0,5.26,112,14.79,4.03,113/1
1402,遠東新,37.8,3.57,112,24.23,0.88,113/1
1409,新纖,17.95,3.06,112,26.40,0.81,113/1
1410,南染,37.4,0.8,112,103.89,2.21,113/1
1413,宏洲,10.5,0.0,112,-,1.28,113/1
1414,東和,24.25,1.03,112,89.81,1.7,113/1
1416,廣豐,12.45,4.02,112,18.58,0.62,113/1
1417,嘉裕,11.55,1.73,112,-,0.84,113/1
1418,東華,40.45,0.0,112,79.31,1.78,113/1
1419,新紡,47.6,2.52,112,21.94,1.03,113/1
1423,利華,44.8,1.34,112,104.19,1.51,113/1
1432,大魯閣,18.35,0.0,112,36.70,2.15,113/1
1434,福懋,22.75,2.2,112,71.09,0.76,113/1
1435,中福,47.3,0.0,111,-,4.93,113/1
1436,華友聯,199.0,3.53,112,21.35,6.23,113/1
1437,勤益控,37.85,2.99,112,12.57,1.0,113/1
1438,三地開發,66.5,0.0,112,-,3.28,113/1
1439,雋揚,28.75,1.04,112,14.30,1.0,113/1
1440,南紡,17.55,1.99,112,11.78,1.0,113/1
1441,大東,17.8,0.0,112,-,3.31,113/1
1442,名軒,63.5,5.51,112,11.10,3.01,113/1
1443,立益物流,32.3,0.0,112,18.35,2.17,113/1
1444,力麗,9.95,0.0,112,124.38,0.91,113/1
1445,大宇,18.25,13.7,112,2.40,0.89,113/1
1446,宏和,51.3,1.36,112,16.99,3.9,113/1
1447,力鵬,9.99,0.0,112,-,0.93,113/1
1449,佳和,18.75,0.21,112,20.38,0.98,113/1
1451,年興,20.05,2.49,112,-,0.59,113/1
1452,宏益,17.0,1.76,112,36.96,0.82,113/1
1453,大將,25.25,1.19,112,35.07,1.86,113/1
1454,台富,18.35,1.36,112,53.97,1.41,113/1
1455,集盛,13.6,0.0,112,-,1.13,113/1
1456,怡華,19.85,1.01,112,90.23,1.27,113/1
1457,宜進,21.5,6.98,112,8.70,0.92,113/1
1459,聯發,10.8,0.0,112,98.18,1.22,113/1
1460,宏遠,8.3,0.0,112,-,0.94,113/1
1463,強盛新,22.6,2.21,112,41.85,1.61,113/1
1464,得力,13.95,1.79,112,93.00,1.09,113/1
1465,偉全,15.35,3.26,112,17.06,0.97,113/1
1466,聚隆,12.6,0.0,112,-,0.98,113/1
1467,南緯,12.05,0.0,112,-,0.99,113/1
1468,昶和,15.15,0.0,112,34.43,1.94,113/1
1470,大統新創,20.7,2.8,112,39.06,1.84,113/1
1471,首利,16.15,0.0,112,-,1.68,113/1
1472,三洋實業,66.9,2.99,112,15.70,1.93,113/1
1473,台南,40.5,2.96,112,13.28,1.48,113/1
1474,弘裕,14.75,0.0,112,33.52,0.91,113/1
1475,業旺,67.5,2.96,112,13.61,3.24,113/1
1476,儒鴻,540.0,2.5,112,25.65,6.27,113/1
1477,聚陽,438.5,3.74,112,25.48,8.05,113/1
1503,士電,291.5,1.03,112,55.52,3.83,113/1
1504,東元,51.1,4.31,112,20.12,1.45,113/1
1506,正道,18.05,0.0,112,69.42,2.02,113/1
1512,瑞利,8.44,0.0,112,-,2.39,113/1
